"1","<ul class = ""modalAr"">الرجاء اﻹتصال على الرقم المخصص لوزارة الصحة ١٢٣٤ أو ٧٦٥٩٢٦٩٩</ul> 
<ul class = ""modalAr"">الرجاء الإلتزام بالحجر المنزلي لمدة لا تاكل عن ١٤ يوماً الذي يتضمن:</ul> 
<p class = ""modalArP"">.عدم الذهاب إلى العمل أو المدرسة أو الأماكن العامة الأخرى أو المناسبات الإجتماعية</>

<p class = ""modalArP"">.البقاء في غرفة جيدة التهوئة فيها نافذة يمكن فتحهاو التي تكون منفصلة عن باقي غرف القاطنين في المنزل</> 

<p class = ""modalArP"">.غسل اليدين جيداً وبصورة متكررة بالماء والصابون لمدة ٢٠ ثانية على الأقل</>

<p class = ""modalArP"">.عدم إستقبال الزوار بتاتاً</>
 
<p class = ""modalArP"">.من المفضل أن يكون لديك حمام أو مرحاض خاص بك ، في حال عدم توفر ذلك يجب تنظيف الحمام جيداً بعد كل استعمال</p> 

<p class = ""modalArP"">.عدم مشاركة الأكواب أو أدوات الأكل أو المناشف أو السرير مع أي شخص في المنزل</> 
<p class = ""modalArP"">.وضع القمامة في كيس بلاستيك ثم وضعه في كيس أخر قبل رميه</>","arabic"
"2"," </br> عليك التوجه نحو أقرب مستشفى للقيام بفحص الكورونا 
</br>                  أو 
  الاتصال على الرقم المخصص لوزارة الصحة ١٢٣٤ أو ٧٦٥٩٢٦٩٩","arabic"
"3","الرجاء التواصل مع طبيبك الشخصي مع مراعاة معيير النظافة الشخصية، كما ويرجى تجنب الاختلاط مع الآخرين","arabic"
"4","الرجاء الالتزام بالعزل الاجتماعي(عدم مغادرة المنزل الا في حالة الضورة القصوى)، الاهتمام بالنظافة الشخصية واعادة تعبئة الاستمارة في حال ظهور عوراض مرضيّة
","arabic"
"5","الرجاء التواصل مع طبيبك الشخصي مع مراعاة معيير النظافة الشخصية، كما ويرجى تجنب الاختلاط مع الآخرين","arabic"
"6","● Appelez le Ministère de la Santé Publique au 1214 ou 76592699 <br/>● Quarantaine à domicile pendant au moins 14 jours<br/>1- Ne pas aller au travail, à l'école, dans d'autres lieux publics a des événements sociaux<br/> 2- Rester dans une pièce bien ventilée avec une fenêtre qui peut s'ouvrir et séparée des autres chambres de la maison<br/>3-Demandez à des amis ou à des membres de votre famille de vous fournir de la nourriture ou des médicaments et de les placer à la porte de votre maison ou de votre chambre<br/>4- Se laver les mains soigneusement et fréquemment à l'eau et au savon pendant au moins 20 secondes<br/>5- Ne pas recevoir de visiteurs<br/> 6- Il est recommandé d'avoir sa propre salle de bain ou toilettes. Si cela n'est pas disponible, la salle de bain doit être nettoyée à fond après chaque utilisation.<br/>7- Ne partagez jamais de tasses, d'ustensiles, de serviettes ou de lit avec quelqu'un à la maison<br/>8- Mettez les ordures dans un sac en plastique et mettez-les dans un autre sac avant de les jeter
","french"
"7","Vous devez aller à l’hôpital gouvernemental pour être examiné et testé pour le Coronavirus <br/>
                                                OU<br/>
 Appelez le Ministère de la Santé Publique au 1214 ou 76592699","french"
"8","Veuillez contacter votre médecin, adopter des précautions d'hygiène personnelle et éviter de sortir!","french"
"9","Veuillez-vous engager à prendre des distances sociales. Ne pas quitter la maison sauf en cas d'absolue nécessité (en plus des mesures d'hygiène personnelle ). Veuillez répéter ce questionnaire au cas où les symptômes apparaissent.","french"
"10","Veuillez contacter votre médecin, adopter des précautions d'hygiène personnelle et éviter de sortir!","french"
"11","Veuillez contacter votre médecin, adopter des précautions d'hygiène personnelle et éviter de sortir!","french"
"22","•Report Ministrey Of Public Health on 1214 or 76592699. <br/>•Home quarantine for at least 14 days. This includes:<br/>1- Staying at home for 14 days, and not going to work, school, other public places or social events<br/>2- Staying in a well-ventilated room with a window that can open, and should be separate from the rest of the room in the house<br/>3- Ask friends or family members to secure food or medicines and place them at the door of your house or room<br/>4- Wash hands thoroughly and frequently with soap and water for at least 20 seconds<br/>5- Not receiving visitors<br/>6- It is recommended that you have your own bathroom or toilet. If this is not available, the bathroom should be cleaned thoroughly after each use<br/>7- Never share cups, utensils, towels, or bed with anyone at home<br/>8- Put the garbage in a plastic bag and put it in another bag before throwing it.","english"
"23","  You need to visit a nearby hospital to do Coronavirus testing <br/>
                                      OR<br/>
 Call Ministry Of Public Health on 1214 or 76592699","english"
"24","Please contact your physician, adopt precautions as personal hygiene and avoid going out! ","english"
"25","Please commit to social distancing (stay at home and do not leave  except for necessary or urgent causes) in addition to personal hygiene measures.
Please repeat this questionnaire in case symptoms appear.","english"
"26","Please contact your physician, adopt precautions as personal hygiene and avoid going out! ","english"
